Angle,Cp,p
-1.282500e+02,-2.682334e-01,4.445431e-02
-3.638854e+01,1.112176e+00,7.346590e-01
-3.712500e+01,1.093510e+00,7.253262e-01
-3.786146e+01,1.074300e+00,7.157208e-01
5.361146e+01,6.517316e-01,5.044368e-01
5.287500e+01,6.710467e-01,5.140944e-01
5.213854e+01,6.901126e-01,5.236273e-01
-6.750000e+00,1.622100e+00,9.896209e-01
-7.138542e+00,1.619231e+00,9.881865e-01
-7.875000e+00,1.613752e+00,9.854470e-01
-8.611459e+00,1.608165e+00,9.826535e-01
1.661115e+02,-2.527024e-01,5.221979e-02
1.653750e+02,-2.540973e-01,5.152234e-02
1.646385e+02,-2.551469e-01,5.099756e-02
1.642500e+02,-2.555604e-01,5.079082e-02
-1.388854e+01,1.557390e+00,9.572662e-01
-1.462500e+01,1.548472e+00,9.528068e-01
-1.536146e+01,1.539124e+00,9.481332e-01
-1.616115e+02,-2.704920e-01,4.332498e-02
-1.608750e+02,-2.704403e-01,4.335085e-02
-1.601385e+02,-2.704183e-01,4.336185e-02
-7.161146e+01,2.225065e-01,2.898242e-01
-7.087500e+01,2.383764e-01,2.977592e-01
-7.013854e+01,2.540616e-01,3.056018e-01
1.800000e+01,1.497208e+00,9.271750e-01
1.838854e+01,1.490972e+00,9.240570e-01
1.912500e+01,1.478937e+00,9.180396e-01
1.986146e+01,1.466395e+00,9.117683e-01
9.488854e+01,-1.438313e-01,1.066554e-01
9.562500e+01,-1.545603e-01,1.012909e-01
9.636146e+01,-1.655803e-01,9.578085e-02
-1.237500e+02,-2.714289e-01,4.285656e-02
-1.233615e+02,-2.718019e-01,4.267005e-02
-1.226250e+02,-2.727679e-01,4.218705e-02
-1.218885e+02,-2.742202e-01,4.146089e-02
-2.211146e+01,1.429545e+00,8.933436e-01
-2.137500e+01,1.443243e+00,9.001927e-01
-2.063854e+01,1.456584e+00,9.068632e-01
-1.008615e+02,-1.901432e-01,8.349942e-02
-1.001250e+02,-1.859255e-01,8.560827e-02
-9.938854e+01,-1.828942e-01,8.712389e-02
7.913854e+01,7.923019e-02,2.181861e-01
7.987500e+01,6.550273e-02,2.113224e-01
8.061146e+01,5.192030e-02,2.045311e-01
1.777500e+02,-2.493709e-01,5.388557e-02
1.781385e+02,-2.506899e-01,5.322604e-02
1.788750e+02,-2.533129e-01,5.191457e-02
1.796115e+02,-2.560287e-01,5.055663e-02
-9.186146e+01,-1.063145e-01,1.254137e-01
-9.112500e+01,-9.694850e-02,1.300967e-01
-9.038854e+01,-8.756304e-02,1.347895e-01
1.713885e+02,-2.413989e-01,5.787155e-02
1.721250e+02,-2.407323e-01,5.820483e-02
1.728615e+02,-2.404791e-01,5.833144e-02
-1.057500e+02,-2.381849e-01,5.947855e-02
-1.053615e+02,-2.352619e-01,6.094006e-02
-1.046250e+02,-2.288846e-01,6.412870e-02
-1.038885e+02,-2.209362e-01,6.810292e-02
7.463854e+01,1.621598e-01,2.596509e-01
7.537500e+01,1.475305e-01,2.523363e-01
